NAME,NETSTREAMS,SHED,NAMED,RECNUM,SEGID,SEGID_OLD,FROMNODE,TONODE,DOWNRMI,UPRMI,WRDS,STRAHLER,OBJECTID,SHAPE.LEN,Shape*
Casselman River,115359,19F,1,115359,38579_22.8249_23.8062,38579_22.8248_23.8061,113841,113448,22.8248911,23.8061936,38579,5,110380,2059.567501,Polyline
Casselman River,115360,19F,1,115360,38579_20.1417_20.8749,38579_20.1416_20.8748,113500,113843,20.14166351,20.87487037,38579,6,110381,1538.389302,Polyline
Casselman River,115363,19F,1,115363,38579_23.8062_23.9261,38579_23.8061_23.9261,113890,113841,23.8061936,23.92614105,38579,5,110384,251.4981938,Polyline
Casselman River,115492,19F,1,115492,38579_15.9073_16.4336,38579_15.9073_16.4335,115527,115906,15.90732941,16.43356516,38579,6,110391,1105.507601,Polyline
Casselman River,115498,19F,1,115498,38579_28.0372_28.7217,38579_28.0371_28.7216,116033,115718,28.03719646,28.72165815,38579,5,110397,1435.884994,Polyline
Casselman River,115996,19F,1,115996,38579_21.8857_22.0998,38579_21.8857_22.0997,113309,113380,21.88574982,22.09982947,38579,6,110406,448.8795879,Polyline
Casselman River,115998,19F,1,115998,38579_22.1954_22.3098,38579_22.1954_22.3097,113250,113272,22.19543963,22.30976611,38579,6,110408,239.6156257,Polyline
Casselman River,115999,19F,1,115999,38579_22.0998_22.1954,38579_22.0997_22.1954,113272,113309,22.09982947,22.19543963,38579,6,110409,200.4524479,Polyline
Casselman River,115336,19F,1,115336,38579_22.3098_22.8249,38579_22.3097_22.8248,113448,113250,22.30976611,22.8248911,38579,5,113672,1080.448281,Polyline
Casselman River,115337,19F,1,115337,38579_21.2349_21.8857,38579_21.2348_21.8857,113380,113459,21.23492516,21.88574982,38579,6,113673,1364.553873,Polyline
Casselman River,115338,19F,1,115338,38579_20.8749_21.2349,38579_20.8748_21.2348,113459,113500,20.87487037,21.23492516,38579,6,113674,754.484842,Polyline
Casselman River,115392,19F,1,115392,38579_23.9261_24.4297,38579_23.9261_24.4296,114249,113890,23.92614105,24.42970005,38579,5,113710,1057.332208,Polyline
Casselman River,115405,19F,1,115405,38579_18.9503_20.1417,38579_18.9503_20.1416,113843,114387,18.95032412,20.14166351,38579,6,113723,2498.605554,Polyline
Casselman River,115423,19F,1,115423,38579_24.4297_24.8252,38579_24.4296_24.8251,114612,114249,24.42970005,24.82516928,38579,5,113741,831.4803882,Polyline
Casselman River,115425,19F,1,115425,38579_24.8252_24.9449,38579_24.8251_24.9448,114740,114612,24.82516928,24.94491834,38579,5,113743,251.8179116,Polyline
Casselman River,115430,19F,1,115430,38579_18.4798_18.9503,38579_18.4798_18.9503,114387,114839,18.47983451,18.95032412,38579,6,113748,989.1622969,Polyline
Casselman River,115449,19F,1,115449,38579_17.007_17.4916,38579_17.0069_17.4916,115162,115086,17.00700365,17.49164307,38579,6,113767,1015.495937,Polyline
Casselman River,115451,19F,1,115451,38579_16.8303_17.007,38579_16.8302_17.0069,115086,115183,16.83025453,17.00700365,38579,6,113769,370.8475902,Polyline
Casselman River,115454,19F,1,115454,38579_17.4916_18.4798,38579_17.4916_18.4798,114839,115162,17.49164307,18.47983451,38579,6,113772,2072.617666,Polyline
Casselman River,115467,19F,1,115467,38579_24.9449_25.9293,38579_24.9448_25.9292,115412,114740,24.94491834,25.92931094,38579,5,113785,2066.643482,Polyline
Casselman River,115471,19F,1,115471,38579_25.9293_26.3495,38579_25.9292_26.3494,115459,115412,25.92931094,26.34946261,38579,5,113789,880.1535444,Polyline
Casselman River,115473,19F,1,115473,38579_16.4336_16.8303,38579_16.4335_16.8302,115183,115527,16.43356516,16.83025453,38579,6,113791,833.7200911,Polyline
Casselman River,115479,19F,1,115479,38579_26.3495_27.8691,38579_26.3494_27.8691,115631,115459,26.34946261,27.8691143,38579,5,113797,3185.858363,Polyline
Casselman River,115485,19F,1,115485,38579_27.8691_28.0372,38579_27.8691_28.0371,115718,115631,27.8691143,28.03719646,38579,5,113803,352.4451254,Polyline
Casselman River,115652,19F,1,115652,38579_34.6698_35.0353,38579_34.6698_35.0353,119358,119123,34.66984804,35.03530858,38579,5,113821,766.6744083,Polyline
Casselman River,115656,19F,1,115656,38579_6.3607_7.4151,38579_6.3606_7.4151,118772,119425,6.360675641,7.415145815,38579,6,113825,2211.806613,Polyline
Casselman River,115661,19F,1,115661,38579_35.0353_35.168,38579_35.0353_35.168,119463,119358,35.03530858,35.16800333,38579,4,113830,278.3835034,Polyline
Casselman River,115523,19F,1,115523,38579_15.1203_15.9073,38579_15.1202_15.9073,115906,116573,15.12030659,15.90732941,38579,6,113844,1653.921879,Polyline
Casselman River,115525,19F,1,115525,38579_28.7217_29.7383,38579_28.7216_29.7382,116619,116033,28.72165815,29.73828134,38579,5,113846,2134.210804,Polyline
Casselman River,115528,19F,1,115528,38579_29.7383_29.9451,38579_29.7382_29.9451,116618,116619,29.73828134,29.94510954,38579,5,113849,433.1536453,Polyline
Casselman River,115545,19F,1,115545,38579_29.9451_30.6778,38579_29.9451_30.6778,116986,116618,29.94510954,30.67782458,38579,5,113866,1536.422283,Polyline
Casselman River,115561,19F,1,115561,38579_30.6778_31.0359,38579_30.6778_31.0358,117260,116986,30.67782458,31.03586796,38579,5,113882,751.5979004,Polyline
Casselman River,115574,19F,1,115574,38579_31.0359_31.4517,38579_31.0358_31.4516,117497,117260,31.03586796,31.45166727,38579,5,113895,872.1355955,Polyline
Casselman River,115599,19F,1,115599,38579_31.4517_32.5973,38579_31.4516_32.5973,118126,117497,31.45166727,32.59734726,38579,5,113920,2402.226717,Polyline
Casselman River,115600,19F,1,115600,38579_12.5307_15.1203,38579_12.5307_15.1202,116573,118131,12.53073547,15.12030659,38579,6,113921,5431.892651,Polyline
Casselman River,115608,19F,1,115608,38579_12.3708_12.5307,38579_12.3708_12.5307,118131,118249,12.37084193,12.53073547,38579,6,113929,335.6020046,Polyline
Casselman River,115610,19F,1,115610,38579_11.32_12.3708,38579_11.3199_12.3708,118249,117730,11.3199985,12.37084193,38579,6,113931,2203.994107,Polyline
Casselman River,115613,19F,1,115613,38579_32.5973_33.0919,38579_32.5973_33.0919,118406,118126,32.59734726,33.09193062,38579,5,113934,1037.166323,Polyline
Casselman River,115616,19F,1,115616,38579_10.4745_11.32,38579_10.4745_11.3199,117730,118421,10.47450876,11.3199985,38579,6,113937,1775.780838,Polyline
Casselman River,115618,19F,1,115618,38579_10.4129_10.4745,38579_10.4128_10.4745,118421,118462,10.41285344,10.47450876,38579,6,113939,129.3135,Polyline
